shelter_id,reference_common_ids,municipality,shelter_name,address,reference_same_address_as_emergency_site,reference_other_mayor_matters,reference_accepted_persons,portal_capacity_persons,latitude,longitude,2026-07-29,2026-07-30,2026-07-31,2026-08-01,2026-08-02,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-08,2026-08-09,2026-08-10,2026-08-11
ref:E4321200019111,E4321200019111,上天草市,上小学校,熊本県上天草市大矢野町上1119,1,,,293,32.585879,130.423341,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200025111,E4321200025111,上天草市,中北小学校,熊本県上天草市大矢野町中1918,1,,,175,32.573276,130.433757,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200030111,E4321200030111,上天草市,中南小学校,熊本県上天草市大矢野町中9720,1,,,327,32.552076,130.435946,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200027111,E4321200027111,上天草市,大矢野中学校,熊本県上天草市大矢野町中483,1,,,376,32.58294470193,130.43026424841,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200068111,E4321200068111,上天草市,大矢野図書館,熊本県上天草市大矢野町中977-5,1,,,,32.576648,130.421575,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200026111,E4321200026111,上天草市,大矢野総合体育館,上天草市大矢野町中2289,1,,,1152,32.573336,130.422964,未開設,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,未開設
ref:E4321200024111,E4321200024111,上天草市,大矢野老人福祉センター,熊本県上天草市大矢野町中11582-1,1,,,240,32.577923658322,130.41964866672,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200021111,E4321200021111,上天草市,大矢野自然休養村管理センター,熊本県上天草市大矢野町上1539,1,,,211,32.586938,130.42779536442,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200056111,E4321200056111,上天草市,大道老人福祉センター,熊本県上天草市龍ケ岳町大道3669-1,1,,,110,32.3909449752696,130.367450579471,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200011111,E4321200011111,上天草市,天草青年の家,熊本県上天草市松島町合津5500,1,,,1160,32.504147,130.418185,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200040111,E4321200040111,上天草市,姫戸中学校,熊本県上天草市姫戸町姫浦2500,1,,,322,32.440742488639,130.40702356472,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200036111,E4321200036111,上天草市,姫戸体育館,熊本県上天草市姫戸町二間戸3408,1,,,337,32.428557,130.402562,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200047112,E4321200047112,上天草市,姫戸小学校体育館,熊本県上天草市姫戸町姫浦656-3,1,,,310,32.433636,130.406261,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200043111,E4321200043111,上天草市,姫戸統括支所(姫戸地域振興センター),上天草市姫戸町姫浦3384-5,1,,,88,32.447271,130.41633,未開設,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,未開設
ref:E4321200042112,E4321200042112,上天草市,姫戸老人福祉センター,熊本県上天草市姫戸町姫浦3055-15,1,,,217,32.442314,130.41506,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:e42624d1160f6df2b798,,上天草市,市役所松島庁舎,上天草市松島町合津7915-1,,,,104,32.51827884,130.432705,未開設,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,未開設
ref:E4321200005111,E4321200005111,上天草市,教良木河内交流センター(教良木出張所),熊本県上天草市松島町教良木2796,1,,,84,32.465503,130.377204,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200007111,E4321200007111,上天草市,教良木河内山村広場体育館,熊本県上天草市松島町教良木4647,1,,,167,32.461651028731,130.36473669275,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200022111,E4321200022111,上天草市,旧上北小学校体育館,熊本県上天草市大矢野町上3360,1,,,,32.601642634293,130.42207645767,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200017111,E4321200017111,上天草市,旧維和中学校体育館,熊本県上天草市大矢野町維和1757,1,,,316,32.5746733,130.4664882,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200002111,E4321200002111,上天草市,旧阿村中学校体育館,熊本県上天草市松島町阿村841-2,1,,,338,32.516107,130.449041,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200008111,E4321200008111,上天草市,松島中学校,熊本県上天草市松島町合津2649,1,,,390,32.497847609339,130.42167326098,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200010111,E4321200010111,上天草市,松島総合センターアロマ,熊本県上天草市松島町合津4276-44,1,,,1050,32.516011,130.431249,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200012111,E4321200012111,上天草市,樋合体育館,熊本県上天草市松島町合津6973-16,1,,,238,32.541518911285,130.40629427117,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200061111,E4321200061111,上天草市,樋島体育館,熊本県上天草市龍ケ岳町樋島500-1,1,,,249,32.391385,130.412432,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200058111,E4321200058111,上天草市,樋島老人福祉センター(樋島出張所),上天草市龍ヶ岳町樋島2-11,1,,,171,32.395607,130.411461,未開設,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,開設（平常）,未開設
ref:E4321200033111,E4321200033111,上天草市,湯島小中学校,熊本県上天草市大矢野町湯島154,1,,,228,32.603668,130.342043,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200031111,E4321200031111,上天草市,登立小学校,熊本県上天草市大矢野町登立14103,1,,,405,32.592612,130.440171,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200018111,E4321200018111,上天草市,維和小学校,熊本県上天草市大矢野町維和1787,1,,,280,32.573762,130.465733,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200001111,E4321200001111,上天草市,阿村体育館,熊本県上天草市松島町阿村5779-1,1,,,241,32.518801096052,130.45088588619,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200064111,E4321200064111,上天草市,龍ヶ岳中学校,熊本県上天草市龍ヶ岳町高戸3053-1,1,,,297,32.3966,130.39999,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200049111,E4321200049111,上天草市,龍ヶ岳体育館,熊本県上天草市龍ケ岳町高戸1419-12,1,,,448,32.393877882361,130.39206507976,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4321200067111,E4321200067111,上天草市,龍ヶ岳統括支所(龍ヶ岳地域振興センター),熊本県上天草市龍ヶ岳町高戸1412,,,,178,32.394224,130.389595,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100022111,E4351100022111,五木村,三浦体育館,熊本県五木村甲字嶽4797-3,1,,,300,32.41330252,130.861621,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100023111,E4351100023111,五木村,三浦地区集会室,熊本県五木村甲字嶽4797-6,1,,,50,32.41349392,130.861621,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100013111,E4351100013111,五木村,下梶原体育館,熊本県五木村甲字下梶原4263-10,1,,,200,32.391918,130.923289,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100007111,E4351100007111,五木村,下梶原集会所,熊本県五木村甲4257-169,1,,,,32.390974,130.9211,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100006111,E4351100006111,五木村,下谷集会所,熊本県五木村甲1701-4,1,,,,32.384435,130.83704,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100005111,E4351100005111,五木村,中村地区集会所,熊本県五木村乙字中村1629,1,,,20,32.448826,130.765232,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100014121,E4351100014121,五木村,五木村社協介護サービスセンター,熊本県五木村甲字下手2672-41,,,要配慮者,40,32.39809,130.82774,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100017111,E4351100017111,五木村,五木東小学校体育館,熊本県五木村甲字松本3374-51,1,,,300,32.40174515,130.8266286,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100018111,E4351100018111,五木村,伝統文化伝承館,熊本県五木村甲字田口2997-21,1,,,45,32.39923667,130.8278943,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100009111,E4351100009111,五木村,入鴨集会所,熊本県五木村甲4605-1,1,,,,32.41717075,130.8862861,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100011111,E4351100011111,五木村,八重集会所,熊本県五木村甲6264-2,1,,,,32.45681381,130.8593214,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100021111,E4351100021111,五木村,南地区集会室,熊本県五木村甲字野々脇458-2,1,,,50,32.3621619,130.8425914,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100016111,E4351100016111,五木村,宮園交流館,熊本県五木村甲字宮園5670,1,,,200,32.44179618,130.8575626,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100020111,E4351100020111,五木村,宮園憩いの家,熊本県五木村甲字北西谷6900-2,1,,,50,32.44193655,130.8562613,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100016121,E4351100016121,五木村,小規模多機能ホーム 五木の友,熊本県五木村甲字宮園5670,1,,要配慮者,15,32.44165,130.85766,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100026111,E4351100026111,五木村,小鶴体育館,熊本県五木村丙字小鶴321-2,1,,,300,32.44525117,130.7756227,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100001111,E4351100001111,五木村,山口集会所,熊本県五木村乙1763,1,,,,32.448776,130.741307,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100002111,E4351100002111,五木村,日当集会所,熊本県五木村乙1839-2,1,,,,32.4321274,130.732062,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100024111,E4351100024111,五木村,日添集会所,熊本県五木村丙20-4,1,,,,32.43356678,130.7339278,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100003111,E4351100003111,五木村,林業センター体育館,熊本県五木村乙字高野665-35,1,,,300,32.39994407,130.8155944,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100012111,E4351100012111,五木村,栗鶴集会所,熊本県五木村甲7251-1,1,,,,32.433628,130.85324,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100008111,E4351100008111,五木村,梶原集会所,熊本県五木村甲4342,1,,,,32.40632795,130.8731365,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100019111,E4351100019111,五木村,瀬目地区集会所,熊本県五木村甲字南瀬目234-2,1,,,20,32.353054,130.853519,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100004111,E4351100004111,五木村,端海野ハウス,熊本県五木村乙字上小鶴1561-24,1,,,50,32.488285,130.802032,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100010111,E4351100010111,五木村,竹の川集会所,熊本県五木村甲4863,1,,,,32.41768245,130.8555007,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100015111,E4351100015111,五木村,葛の八重地区集会所,熊本県五木村甲字葛の八重746,1,,,20,32.364124,130.857344,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100025111,E4351100025111,五木村,西地区集会室,熊本県五木村丙字小鶴321-1,1,,,50,32.44548968,130.7751839,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4351100003112,E4351100003112,五木村,高野体育館,熊本県五木村乙字高野665-35,1,,,,32.39997919,130.8150893,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300034111,E4320300034111,人吉市,中原コミュニティセンター,熊本県人吉市下原田町字荒毛2136,1,,,600,32.23171569,130.7243576,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300037111,E4320300037111,人吉市,中原小学校,熊本県人吉市中神町字段548,1,,,3500,32.22480555,130.7195342,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300011111,E4320300011111,人吉市,中小企業大学校,熊本県人吉市鬼木町1769-1,1,,,50,32.230032195857,130.77695855616,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300006111,E4320300006111,人吉市,人吉スポーツパレス,熊本県人吉市下城本町1566-1,1,,,,32.21811533,130.7391314,未開設,開設（不明）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300031111,E4320300031111,人吉市,人吉商工会議所,熊本県人吉市南泉田町3-3,,,,100,32.217517274642,130.76122109456,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
refgroup:cdeffa69475240d7015f,E4320300038111;E4320300038121,人吉市,人吉市保健センター,熊本県人吉市西間下町118-1,1,,視覚障害者、聴覚障害者,1100,32.205734,130.759307,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300009121,E4320300009121,人吉市,人吉市養護老人ホーム延寿荘,熊本県人吉市蟹作町211-1,,左記の者のうち、事前に市が特定し、環境調整を事前に行った者,高齢者(自立度の高い方),,32.193606128572,130.78143554054,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300016111,E4320300016111,人吉市,人吉東小学校,熊本県人吉市七日町100-1,1,,,6500,32.216283,130.766888,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300022111,E4320300022111,人吉市,人吉西小学校,熊本県人吉市城本町873,1,,,7000,32.2193424,130.754518,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300032111,E4320300032111,人吉市,人吉高校,熊本県人吉市北泉田町350,1,,,450,32.22047595833,130.76788229692,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300040121,E4320300040121,人吉市,介護老人保健施設タンポポ,熊本県人吉市下漆田町1538,,,高齢者(要支援・介護認定を受けていない要配慮者)、その他、在宅で一般の避難所での生活では何らかの支障をきたす者(要付添),,32.190651260067,130.79348626089,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300010121,E4320300010121,人吉市,地域密着型特別養護老人ホームアゼリア,熊本県人吉市蟹作町3690,,左記の者のうち、事前に市が特定し、環境調整を事前に行った者,高齢者,,32.195192246349,130.77488722577,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300025111,E4320300025111,人吉市,大畑コミュニティセンター,熊本県人吉市大畑町4071-2,1,,,2000,32.16311136,130.8021827,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300026111,E4320300026111,人吉市,大畑小学校,熊本県人吉市大畑町4097,1,,,4000,32.16292151,130.8035476,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300008111,E4320300008111,人吉市,東間コミュニティセンター,熊本県人吉市蟹作町1531-1,1,,,3375,32.196393130208,130.77540201305,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300030111,E4320300030111,人吉市,東間小学校,熊本県人吉市東間下町2683,1,,,3500,32.203725,130.766611,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300014121,E4320300014121,人吉市,特別養護老人ホーム聖心ホーム,熊本県人吉市寺町9-5,,左記の者のうち、事前に市が特定し、環境調整を事前に行った者,高齢者,,32.20686997871,130.76172723239,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300002121,E4320300002121,人吉市,特別養護老人ホーム龍生園,熊本県人吉市下原田町字瓜生田1057-9,,左記の者のうち、要介護者は家族付添い,高齢者(要配慮者),,32.230779713327,130.72016093431,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300021111,E4320300021111,人吉市,球磨工業高校,熊本県人吉市城本町800,1,,,250,32.219248564488,130.75250332843,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300028111,E4320300028111,人吉市,田野活性化センター,熊本県人吉市田野町3392-2,1,,,100,32.13821225,130.6822905,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300029111,E4320300029111,人吉市,第一中学校,熊本県人吉市土手町36-3,1,,,10000,32.207752,130.759332,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300018111,E4320300018111,人吉市,第三中学校,熊本県人吉市上田代町2008,1,,,4500,32.16780161,130.8039627,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300019111,E4320300019111,人吉市,第二中学校,熊本県人吉市上林町622,1,,,14000,32.22168798,130.744083,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300039111,E4320300039111,人吉市,西瀬コミュニティセンター,熊本県人吉市下戸越町1678-1,,,,1000,32.207001,130.73616,未開設,開設（平常）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300015111,E4320300015111,人吉市,西瀬コミュニティセンター鹿目分館,熊本県人吉市鹿目町2515,1,,,900,32.19031104,130.6890843,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300004111,E4320300004111,人吉市,西瀬小学校,熊本県人吉市下戸越町1654-1,1,,,3000,32.206405,130.736667,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300013121,E4320300013121,人吉市,障がい者支援施設けやき,熊本県人吉市合ノ原町461-2,,,市が特定した者で介助者同伴のみ,,32.236021445962,130.74375697569,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320300009122,E4320300009122,人吉市,障害者支援施設うぐいす,熊本県人吉市蟹作町211-1,,,知的障害者及びその家族,,32.193247636663,130.78158320801,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:c9b5d28a0b103a2afed7,,八代市,さかもと青少年センター分館,八代市坂本町中谷い1270,,,,150,32.44345307,130.669119,未開設,開設（不明）,開設（不明）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320200037121,E4320200037121,八代市,ふくしステーション 千の穂,熊本県八代市高下西町1760,,,要配慮者,14,32.4869960672412,130.60854214312,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
web:8ea216df3abe1685c187,,八代市,みんなの家(中津道),熊本県八代市坂本町中津道300,,,,30,32.38254779,130.6546295,未開設,開設（不明）,開設（不明）,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
ref:E4320200123121,E4320200123121,八代市,キャッスル麦島,熊本県八代市古城町1938-1,,,要配慮者,,32.499862,130.597359,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設,未開設
